Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-08-27,1938.1082763671875,1971.683129231477,1932.376097337994,1953.2794631729205,3579393
2020-08-28,1929.6177978515625,1965.3042853766624,1926.6439589657828,1955.3482069782938,2941136
2020-08-31,1945.737548828125,1962.0723064064068,1920.524203694346,1930.868140159486,6018154
2020-09-01,1936.341552734375,1963.6235962199967,1931.9884381422023,1955.8656452252733,3610908
2020-09-02,1952.546630859375,1955.6498950372566,1932.2897614231763,1936.9015158782217,2084137
2020-09-03,1982.1561279296875,2003.2749907843415,1955.0033042594177,1955.0033042594177,4654146
2020-09-04,1972.9329833984375,2003.4906452451619,1950.650342188167,1961.0374176326743,5231303
2020-09-07,2005.904296875,2020.0840639821429,1968.2351801866696,1973.1053648197674,4620401
2020-09-08,2024.1353759765625,2060.5546423990536,2005.904277082676,2013.5759437002187,7453998
2020-09-09,2006.42138671875,2033.4449981088842,1999.827213061726,2004.1371855036693,3866535
2020-09-10,2009.43798828125,2024.3936740120585,2003.533453418597,2012.7567506145015,2308813
2020-09-11,2046.4609375,2054.1326032869774,2008.576116219162,2009.2657538113035,4145424
2020-09-14,2147.572509765625,2159.942212120523,2053.141202782051,2055.0806899524678,7512131
2020-09-15,2147.572509765625,2187.7415282298266,2124.471230938481,2147.572509765625,7318770
2020-09-16,2157.572509765625,2161.5377691525055,2135.419290368599,2145.4614434002924,3074003
2020-09-17,2121.324951171875,2151.322396607914,2112.4034359280504,2137.745985610589,4828176
2020-09-18,2111.800048828125,2155.330767109225,2100.163124139118,2142.0561371986855,4183256
2020-09-21,2125.0751953125,2159.2100530488087,2113.7398407693668,2124.8165548592483,4598809
2020-09-22,2174.76904296875,2202.3960095618318,2118.7825407056685,2142.056392861508,7499613
2020-09-23,2126.9287109375,2172.0973580105706,2076.5451644581426,2163.6066263137977,7502280
2020-09-24,2010.3858642578125,2111.885675820191,1984.8278217887378,2111.885675820191,8424708
2020-09-25,2088.009521484375,2103.2667835211582,2027.4975438185504,2041.2031735156158,8228267
2020-09-28,2091.456787109375,2106.7140439469217,2039.4784893528708,2103.2660667882524,4347166
2020-09-29,2144.987060546875,2164.5113625220984,2091.4573275938187,2098.827422764655,6995811
2020-09-30,2148.348388671875,2159.295673951245,2120.5059313054144,2145.5037654549496,3917166
2020-10-01,2175.19970703125,2189.4657563125415,2148.3486658918328,2163.6059245450706,2610337
2020-10-05,2332.384521484375,2351.607038956644,2243.814595673962,2258.425358864065,17412105
2020-10-06,2339.711669921875,2358.41690813439,2284.371666140752,2358.41690813439,9846367
2020-10-07,2358.373046875,2387.7239921898554,2329.970379382375,2363.588154001655,9656101
2020-10-08,2435.738037109375,2486.8543576773836,2413.5848185430414,2413.5848185430414,19839329
2020-10-09,2424.746826171875,2439.3146561230465,2396.344156052118,2422.203985074263,7739245
2020-10-12,2439.4443359375,2460.1322030973943,2414.230997836379,2426.9454161950644,4623203
2020-10-13,2436.47021484375,2460.9076288264396,2424.1005115250177,2452.3739687908037,4209878
2020-10-14,2432.185791015625,2460.233406110919,2413.0977309405616,2460.233406110919,4395936
2020-10-15,2372.4541015625,2447.897119842701,2360.680910904799,2433.397154585035,6629355
2020-10-16,2392.104736328125,2399.3329503437703,2364.403310420735,2380.677940410348,5273773
2020-10-19,2347.306396484375,2401.3674195915205,2343.0213743240615,2401.3674195915205,3331194
2020-10-20,2371.069091796875,2389.161502336794,2352.846704006739,2358.949717103499,3406273
2020-10-21,2316.01220703125,2379.725569830299,2305.321314999678,2371.0688744144013,4570143
2020-10-22,2312.33349609375,2325.7513762202097,2283.723282061506,2303.5470333231883,5262294
2020-10-23,2325.88134765625,2339.0394845750616,2311.4247062123227,2326.7470173396605,3499091
2020-10-26,2327.0927734375,2345.921085594935,2311.770465123228,2328.6076951053396,2672752
2020-10-27,2276.8408203125,2353.0197453269852,2271.6036882938483,2337.0915091801853,3537502
2020-10-28,2269.959228515625,2299.1755832517174,2255.9354205113323,2294.0248903894976,3569445
2020-10-29,2279.00537109375,2298.353174444935,2250.957755875873,2257.6666964039136,3105968
2020-10-30,2306.880126953125,2315.103989610664,2269.4399101174863,2281.9921215421514,3427003
2020-11-02,2254.72265625,2306.8792388137895,2250.7838181193215,2302.680657588053,2571196
2020-11-03,2279.827880859375,2307.009825788391,2251.6502889357816,2254.203972365092,2879269
2020-11-04,2296.751220703125,2356.222891454612,2259.397661903571,2259.397661903571,4893928
2020-11-05,2324.928955078125,2345.9647700081096,2308.7409747644388,2324.3230285873706,2816502
2020-11-06,2343.757568359375,2348.77849527693,2321.120388490733,2336.442701097368,3884421
2020-11-09,2360.33447265625,2375.3970369677927,2333.065884221671,2364.2299852897613,3646592
2020-11-10,2293.67822265625,2348.6913558436745,2283.939439800789,2334.8839681976215,4760020
2020-11-11,2326.746337890625,2331.074685043727,2288.310488364032,2309.562715154779,3242441
2020-11-12,2312.24609375,2348.560879679499,2304.195326755218,2325.187807895,2437505
2020-11-13,2299.954345703125,2306.922816859781,2281.905050127462,2299.0020246115355,2548093
2020-11-14,2311.640625,2327.7852765750627,2302.7241869151676,2318.21958636772,298819
2020-11-17,2307.91796875,2332.9790558565132,2294.067258214303,2332.9790558565132,2827273
2020-11-18,2273.81103515625,2306.316971832417,2256.8440373193826,2303.546871302431,2893762
2020-11-19,2282.684326171875,2316.661861581016,2277.447193611673,2282.770977679126,4167501
2020-11-20,2302.897705078125,2316.5320021761345,2274.5903495627117,2298.3529393787885,2711471
2020-11-23,2358.300048828125,2363.277648270453,2307.0091328354424,2328.650869541216,3706418
2020-11-24,2356.395751953125,2374.531486072446,2341.636044413404,2367.0866436852552,3120516
2020-11-25,2338.433349609375,2365.831708108873,2327.092993229563,2362.4123554332427,3302249
2020-11-26,2355.141357421875,2364.1009131018536,2319.9950787799035,2325.189097612993,2341099
2020-11-27,2319.692138671875,2352.6309188705427,2310.51616503078,2341.6369539988077,6086808
2020-12-01,2360.508544921875,2368.3860136018397,2271.907152900118,2319.1294845998823,3605017
2020-12-02,2380.201904296875,2384.6600182238285,2339.428781370178,2353.7556555995443,2509032
2020-12-03,2345.48876953125,2401.2811404532845,2338.0008110265976,2401.2811404532845,2852548
2020-12-04,2361.1572265625,2370.939335588327,2336.4423165141206,2346.6572603521954,2686527
