Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2020-08-19,148.21493530273438,150.6422367233129,147.95353288297204,148.32696660193616,16070316
2020-08-20,146.23574829101562,147.2813579775525,145.30216990448284,147.13198685592232,17561721
2020-08-21,146.9826202392578,148.7750855888839,146.60918650617393,147.87884699650783,17897538
2020-08-24,146.9079132080078,148.62569873026075,146.64651080603184,147.3186867203808,15304895
2020-08-25,145.93701171875,148.10291081924103,145.712949110035,147.3187035238647,15784633
2020-08-26,145.60089111328125,146.7958717488135,144.62997304538754,146.75853193258175,23502769
2020-08-27,145.07810974121094,148.55103275916497,144.8167073151862,148.25227867576106,49030500
2020-08-28,146.04905700683594,146.6092017471293,144.92875569112186,145.33952928967884,35979788
2020-08-31,142.72549438476562,148.6257068248524,141.90394731527576,148.6257068248524,100730476
2020-09-01,142.05332946777344,143.65908391062814,140.59694615505327,142.72550547094224,41311165
2020-09-02,142.9122314453125,144.14455227478803,141.6425707881604,142.87489161763594,21378178
2020-09-03,143.09890747070312,144.33123983434172,141.90393859587132,142.94953636134915,16295787
2020-09-04,139.43931579589844,141.90396921994386,138.6924482528235,141.90396921994386,42983034
2020-09-07,141.23175048828125,142.27736008619775,135.03279620795442,139.85005885396285,33918419
2020-09-08,140.52223205566406,142.31470899903638,137.8708682934723,141.60518145118613,26574542
2020-09-09,137.27340698242188,139.10321221650432,136.15310574540302,138.54306751555814,28901363
2020-09-10,138.09494018554688,138.6924246502254,136.82526794541704,137.49744388574305,18469229
2020-09-11,137.38543701171875,139.28993371127132,136.4891983974655,138.0949528373091,19997552
2020-09-14,136.93728637695312,138.8044429063542,136.675883989432,138.76710308960097,32185628
2020-09-15,135.7796630859375,137.57214021344282,135.03280747874837,137.422769092005,31956903
2020-09-16,134.92076110839844,137.04932006259992,134.47264779413868,135.81699957204233,52591750
2020-09-17,133.3896942138672,135.55559291736876,132.7921979785182,135.0327881496099,35240133
2020-09-18,133.7631378173828,134.32329432766832,132.19473509396113,134.0992317235541,30929813
2020-09-21,131.26113891601562,134.8834207380241,130.73833413396036,134.43529559047712,24811451
2020-09-22,130.103515625,132.00801225375034,129.76742171897737,131.2611566322433,19242719
2020-09-23,128.83383178710938,132.60549671993633,128.23634734336937,130.66364860753163,64164525
2020-09-24,124.39002227783203,128.27370727650458,124.09128000911723,128.2363674516969,32698988
2020-09-25,127.52684783935547,127.86294178927234,124.72611226389151,126.14515588277247,27650738
2020-09-28,129.4313507080078,130.55164015356024,127.34013111884126,127.7135648790677,24087933
2020-09-29,126.51858520507812,130.514301625454,126.21984292797808,130.514301625454,26602326
2020-09-30,128.23634338378906,128.53508559643473,125.99575311869752,126.9666712273582,19193371
2020-10-01,127.60152435302734,130.40225959978645,127.04137967070074,130.32757995421014,20517295
2020-10-05,126.40655517578125,129.05791954099905,126.03312140805123,127.78824709774243,25234767
2020-10-06,126.8919906616211,128.16165097362062,125.54763887944537,126.59323661604083,22728054
2020-10-07,126.59326171875,127.63887149780821,126.219839799195,126.96669547343176,16913783
2020-10-08,124.83810424804688,127.26540528165877,124.65139333589356,127.04135455409953,26484289
2020-10-09,125.3609390258789,126.14514634794891,124.24064961442265,125.0995365851889,23234939
2020-10-12,128.60977172851562,130.85035006547534,126.9666659569214,127.34009962478936,68801924
2020-10-13,127.07869720458984,130.58894764427578,126.59323225298739,129.0952248083535,37058708
2020-10-14,125.3235855102539,127.71354703971495,124.76344086572011,127.37745315191951,39688050
2020-10-15,123.26969909667969,125.32357845789217,122.89627724475433,125.24888698643232,28161148
2020-10-16,123.7551498413086,124.57669675726447,122.3361067277609,123.60577875069146,21006060
2020-10-19,125.65966033935547,126.14512531544452,124.09125779184585,124.5767109328103,19748904
2020-10-20,125.06218719482422,125.6970233358165,124.5020425319416,125.47296073661317,16770677
2020-10-21,125.2115478515625,126.14512615671977,124.42734065501543,125.58498154065035,17113482
2020-10-22,125.88371276855469,126.29448624015447,124.72607198397876,125.1368572907022,22893091
2020-10-23,127.52684783935547,127.71357064546288,125.28626884708628,126.18249570994297,20921450
2020-10-26,125.88371276855469,128.1616426874712,125.65965020763711,128.08696305724777,16699886
2020-10-27,124.87545776367188,126.44386022050661,124.53936391462763,125.84637582459317,47652264
2020-10-28,123.60580444335938,125.84639493859146,123.23237072163307,125.84639493859146,17468592
2020-10-29,122.37347412109375,123.94188852704775,122.0747200662991,123.23236096142583,21816186
2020-10-30,123.41910552978516,124.576734794308,122.00006198296057,122.48552705203588,16976909
2020-11-02,124.53939056396484,124.87548448492754,122.82160480545053,124.57673038791854,14924105
2020-11-03,127.0413818359375,127.52683504583557,124.80079123331737,124.87548271529276,23473408
2020-11-04,126.81732177734375,128.31104493077635,125.62234088757236,127.0040445684769,19533203
2020-11-05,130.5142822265625,130.70099316321662,127.11605086548023,127.90025810265305,28037401
